id,text
1,"选择大牛合，是因为可以喝牛肉汤，而且肉质新鲜，吃起来比较放心，没想到比较惊艳的是他们的牛肉串，味道相当的棒，而且是限量的，其他的菜品一个人吃两三盘应该可以够，番茄汤锅味道很鲜美，推荐牛肉可以吃，稍微肥一点的，口感更好。"
2,"前不久团的四人餐券，国庆节放假带家人来吃的，环境不错。爸妈喜欢吃清淡的，所以整体味道还比较符合他们的口味，「肥胼」和「吊龙」都还可以，烫几秒就可以吃，还挺嫩的，「现炸酥肉」很一般，肥肉多，味道偏淡，建议改良一下。"
3,"当时八月份去吃的，阴天，本来就很闷热，但是店内没有开空调只能坐外面，开始可以忍受，吃着吃着太热了，家人都在说以后不来了，有点太抠了。火锅店八月份中午不开空调。其实味道还是将就，牛肉新鲜吧，用了代金券价格也合适，就是让人感觉很不舒适，在用餐过程中店员有一阵还在旁边盯着我们。。。不知道有什么值得一直关注的，看我们有好热？"
4,"下午顺路又到这家吃牛肉，来了很多次，味道还不错，今天人不多，环境一直比较好，服务非常热情，看着有小孩，马上拿来了儿童餐椅，调料是自助，一直比较喜欢这种模式，味道也还可以，主要是方便，涮一下就可以吃了。"
5,"以前都是吃凯德天府店，带娃在楼上玩耍，所以只有选清淡点的。看到这家大牛合还有五折秒杀劵，于是团购了两张。习惯性的点了爱吃的牛肉串，味道还是挺不错，看到是门口小哥新鲜烤制。菜品还算新鲜，汤底正常，不像加了浓汤宝。炒饭，面条都还行，适合娃娃和老年人。"
6,"优品道的一家潮汕牛肉汤，看到在搞活动就来试试。环境：店铺还是宽敞，室外有桌子，空气挺好的。服务：明显人手不够，一个服务员管所有室外桌子，明显有点忙不过来。几乎除了上菜全程自助。菜品：蘸料自助，非常丰富，大约10种口味吧。试了芝麻酱、沙茶酱、香油碟、牛肉酱、海鲜酱油、香菇酱。映像最深的是沙茶酱，香味甜味都很足，蘑菇酱稍显油腻，吃着比较闷。食材：雪花肥牛很不错，每一片纹理都很漂亮，瘦肉不柴，大家都反应不错。嫩肉、吊龙：没吃出区别，肉还是比较嫩，吃起来不塞牙。烤串：烤得火候还是到位，香料味进到肉里面去了，肥瘦相间的搭配恰到好处。素材稍稍差了点，藕片泛黄，有黑点，土豆也有些没削干净。打折下来性价比还不错，正价有点小贵了。"
7,"环境还可以，晚上去的，也没排队，我们两个人，小桌没有了，直接给安排的6人长桌。上菜速度也挺快的，团的双人餐，两人吃还是够了，两个牛肉，几个素菜，一份红糖糍粑。糍粑好评，是现炸的，也比较软糯。牛肉有两种，偏瘦的比较有嚼劲，偏肥的比较好嚼，肉质都还不错。蘸料自助式的，我觉得自己配的还可以，我男朋友觉得酱料不太行。总体还是推荐"
8,"想吃牛肉了就近找的这家，在优品道的二楼。其实进门看来其他桌的汤锅就感觉不是很好呢？食材的话五花址将就，嫩肉是一点儿都不嫩，最不嫩的就属它。牛肉丸和腐竹水平还差不多。所以整体算下来价格不算便宜，主要是食材，汤锅的味道还是不行。"
9,"肉还是新鲜，但是呢就没有啥子香味，就是一般的牛肉。牛肉丸也很死硬。不过呢在双流吃潮汕牛肉这家应该还是算可以的了就是中中平平的水准他们家外面不晓得咋回事，可能是阴雨天气，桌子上巨多虫子，一会儿冒出来一个，还是很影响吃饭的心情的。。"
10,"大众点评上抢的99元4人餐，性价比真的不高。「吊龙」「匙柄」肉还可以，大片大片的，涮几秒吃起来是比较嫩，但是有几片肉嚼不动，。「五花腱」单点的五花腱，emmmm直接咽不下，首先嚼不动，其次膻味太重了!!!原味汤锅很一般，没有太惊艳。"
